goal_id,goal_name,goal_description,goal_amount,current_amount,color1,color2,color3
1,hymn-cover,Hugo Nadiel Oplatka - Hymna Cover,2000,0,#FF6B6B,#FF8E72,#FFB26B
2,live-concert,Živý Koncert & Křest Alba,5000,0,#4D96FF,#7AC5FF,#44D4FF
